moviename,charactername,time
 Doctor Strange,King Laufey,0
 Doctor Strange,Korg,0
 Doctor Strange,Kraglin,0
 Doctor Strange,Laura Barton,0
 Doctor Strange,Liz Allan,0
 Doctor Strange,Loki,0
 Doctor Strange,Luis,0
 Doctor Strange,Malekith the Accursed,0
 Doctor Strange,Mantis,0
 Doctor Strange,Maria Hill,0
 Doctor Strange,May Parker,0
 Doctor Strange,Maya Hansen,0
 Doctor Strange,Natasha Romanoff,0
 Doctor Strange,Nebula,0
 Doctor Strange,Ned Leeds,0
 Doctor Strange,Nick Fury,0
 Doctor Strange,Obadiah Stane,0
 Doctor Strange,Odin,0
 Doctor Strange,Paxton,0
 Doctor Strange,Peggy Carter,0
 Doctor Strange,Pepper Potts,0
 Doctor Strange,Peter Parker,0
 Doctor Strange,Peter Quill,0
 Doctor Strange,Pietro Maximoff,0
 Doctor Strange,Raza,0
 Doctor Strange,Rocket Raccoon,0
 Doctor Strange,Ronan the Accuser,0
 Doctor Strange,Sam Wilson,0
 Doctor Strange,Samuel Sterns,0
 Doctor Strange,Savin,0
 Doctor Strange,Scott Lang,0
 Doctor Strange,Sharon Carter,0
 Doctor Strange,Sif,0
 Doctor Strange,Skurge,0
 Doctor Strange,Steve Rogers,0
 Doctor Strange,T'Challa,0
 Doctor Strange,Taserface,0
 Doctor Strange,The Collector,0
 Doctor Strange,Thor,0.75
 Doctor Strange,Tinkerer,0
 Doctor Strange,Tony Stark,0
 Doctor Strange,Trevor Slattery,0
 Doctor Strange,Ultron,0
 Doctor Strange,Valkyrie,0
 Doctor Strange,Vision,0
 Doctor Strange,Volstagg,0
 Doctor Strange,Wanda Maximoff,0
 Doctor Strange,Wong,7
 Doctor Strange,Yondu Udonta,0
 Doctor Strange,Zemo,0
 Guardians Of The Galaxy,Adrian Toomes,0
 Guardians Of The Galaxy,Agent Phil Coulson,0
 Guardians Of The Galaxy,Aldrich Killian,0
 Guardians Of The Galaxy,Alexander Pierce,0
 Guardians Of The Galaxy,Algrim,0
 Guardians Of The Galaxy,Ancient One,0
 Guardians Of The Galaxy,Arnim Zola,0
 Guardians Of The Galaxy,Ayesha,3.5
 Guardians Of The Galaxy,Baron Mordo,0
 Guardians Of The Galaxy,Betty Ross,0
 Guardians Of The Galaxy,Bruce Banner,0
 Guardians Of The Galaxy,Bucky Barnes,0
 Guardians Of The Galaxy,Cassandra Lang,0
 Guardians Of The Galaxy,Chester Phillips,0
 Guardians Of The Galaxy,Christine Everhart,0
 Guardians Of The Galaxy,Christine Palmer,0
 Guardians Of The Galaxy,Clint Barton,0
 Guardians Of The Galaxy,Col. James Rhodes,0
 Guardians Of The Galaxy,Crossbones,0
 Guardians Of The Galaxy,Darcy Lewis,0
 Guardians Of The Galaxy,Darren Cross,0
 Guardians Of The Galaxy,Dr. Abraham Erskine,0
 Guardians Of The Galaxy,Dr. Helen Cho,0
 Guardians Of The Galaxy,Dr. Stephen Strange,0
 Guardians Of The Galaxy,Drax the Destroyer,18
 Guardians Of The Galaxy,Ego the Living Planet,0
 Guardians Of The Galaxy,Emil Blonsky,0
 Guardians Of The Galaxy,Erik Selvig,0
 Guardians Of The Galaxy,Fandral,0
 Guardians Of The Galaxy,Frigga,0
 Guardians Of The Galaxy,Gamora,31
 Guardians Of The Galaxy,Gen. Thaddeus Ross,0
 Guardians Of The Galaxy,Grandmaster,0
 Guardians Of The Galaxy,Groot,15.5
 Guardians Of The Galaxy,Hank Pym,0
